species_asw,family,order,eggs,larvae,DD,viviparity,paedomorphy,rep_mode,SSE_larva,SSE_adult,SSE_Tegg,SSE_Tlarv
Ambystoma_altamirani,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_amblycephalum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_andersoni,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Ambystoma_annulatum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_barbouri,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_bishopi,Ambystomatidae,Caudata,T,A,N,N,N,S,1,1,1,1
Ambystoma_bombypellum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_californiense,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_cingulatum,Ambystomatidae,Caudata,T,A,N,N,N,S,1,1,1,1
Ambystoma_dumerilii,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_flavipiperatum,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_gracile,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_granulosum,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_jeffersonianum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_laterale,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_leorae,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_lermaense,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Ambystoma_mabeei,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_macrodactylum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_maculatum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_mavortium,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_mexicanum,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Ambystoma_opacum,Ambystomatidae,Caudata,T,A,N,N,N,S,1,1,1,1
Ambystoma_ordinarium,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_rivulare,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_rosaceum,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_silvense,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_subsalsum,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Ambystoma_talpoideum,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_taylori,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_texanum,Ambystomatidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ambystoma_tigrinum,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Ambystoma_velasci,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Dicamptodon_aterrimus,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Dicamptodon_copei,Ambystomatidae,Caudata,A,A,N,N,O,P,1,0,0,0
Dicamptodon_ensatus,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Dicamptodon_tenebrosus,Ambystomatidae,Caudata,A,A,N,N,F,A,1,1,0,0
Amphiuma_means,Amphiumidae,Caudata,T,A,N,N,O,P,1,0,0,0
Amphiuma_pholeter,Amphiumidae,Caudata,T,A,N,N,O,P,1,0,0,0
Amphiuma_tridactylum,Amphiumidae,Caudata,A,A,N,N,O,P,1,0,0,0
Andrias_davidianus,Cryptobranchidae,Caudata,A,A,N,N,O,P,1,0,0,0
Andrias_japonicus,Cryptobranchidae,Caudata,A,A,N,N,O,P,1,0,0,0
Cryptobranchus_alleganiensis,Cryptobranchidae,Caudata,A,A,N,N,O,P,1,0,0,0
Afghanodon_mustersi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Batrachuperus_karlschmidti,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Batrachuperus_londongensis,Hynobiidae,Caudata,A,A,N,N,F,A,1,1,0,0
Batrachuperus_pinchonii,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Batrachuperus_tibetanus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Batrachuperus_yenyuanensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_abei,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_abuensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_akiensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_amakusaensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_amjiensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_arisanensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_bakan,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_boulengeri,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_chinensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_dunni,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_formosanus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_fossigenus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_fucus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_glacialis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_guabangshanensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_hidamontanus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_hirosei,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_ikioi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_iwami,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_katoi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_kimurae,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_leechii,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_lichenatus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_maoershanensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_mikawaensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_naevius,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_nebulosus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_nigrescens,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_okiensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_osumiensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_oyamai,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_quelpaertensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_retardatus,Hynobiidae,Caudata,A,A,N,N,F,A,1,1,0,0
Hynobius_sematonotos,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_setoi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_setouchi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_shinichisatoi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_sonani,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_stejnegeri,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_takedai,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_tokyoensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_tosashimizuensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_tsuensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_turkestanicus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_unisacculus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_utsunomiyaorum,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_vandenburghi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_yangi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Hynobius_yiwuensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Liua_shihi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Liua_tsinpaensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_fischeri,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_fuscus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_intermedius,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_japonicus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_kinneburi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_koreanus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_nipponoborealis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_tsukubaensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_zhangyapingi,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Onychodactylus_zhaoermii,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pachyhynobius_shangchengensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Paradactylodon_persicus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_flavomaculatus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_guizhouensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_jinfo,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_kuankuoshuiensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_puxiongensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Pseudohynobius_shuichengensis,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Ranodon_sibiricus,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Salamandrella_keyserlingii,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Salamandrella_tridactyla,Hynobiidae,Caudata,A,A,N,N,N,A,1,1,0,0
Aneides_aeneus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_ferreus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_flavipunctatus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_hardii,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_iecanus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_lugubris,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_niger,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aneides_vagrans,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_cafetalera,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_cephalica,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_galeanae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_praecellens,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_quetzalanensis,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Aquiloeurycea_scandens,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_altasierrae,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_attenuatus,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_bramei,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
Batrachoseps_campi,Plethodontidae,Caudata,T,N,Y,N,N,D,0,1,1,0
