Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10010001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.284515	-0.284515
1	0.995007	3750	-0.290849	-0.575364
2	0.992517	3750	-0.289776	-0.865141
3	0.990030	3750	-0.287936	-1.153077
4	0.987547	3750	-0.279898	-1.432975
5	0.985067	3750	-0.279664	-1.712639
6	0.982592	3750	-0.279350	-1.991989
7	0.980120	3750	-0.285523	-2.277512
8	0.977652	3750	-0.289346	-2.566858
9	0.975187	3750	-0.282431	-2.849289
10	0.972726	3750	-0.281831	-3.131120
11	0.970269	3750	-0.280732	-3.411852
12	0.967816	3750	-0.280603	-3.692455
13	0.965367	3750	-0.287957	-3.980412
14	0.962921	3750	-0.276923	-4.257334
15	0.960479	3750	-0.280946	-4.538280
16	0.958040	3750	-0.284833	-4.823113
17	0.955606	3750	-0.277540	-5.100653
18	0.953175	3750	-0.277000	-5.377653
19	0.950747	3750	-0.275035	-5.652688
20	0.948324	3750	-0.278475	-5.931164
21	0.945904	3750	-0.277834	-6.208998
22	0.943488	3750	-0.279155	-6.488153
23	0.941076	3750	-0.277299	-6.765452
24	0.938667	3750	-0.269410	-7.034862
25	0.936262	3750	-0.263708	-7.298570
26	0.933861	3750	-0.273142	-7.571712
27	0.931463	3750	-0.272779	-7.844491
28	0.929069	3750	-0.274939	-8.119430
29	0.926679	3750	-0.268760	-8.388189
30	0.924293	3750	-0.271741	-8.659931
31	0.921910	3750	-0.275902	-8.935832
32	0.919531	3750	-0.274407	-9.210240
33	0.917155	3750	-0.274530	-9.484769
34	0.914783	3750	-0.272742	-9.757511
35	0.912415	3750	-0.267379	-10.024891
36	0.910051	3750	-0.260468	-10.285359
37	0.907690	3750	-0.274311	-10.559670
38	0.905333	3750	-0.275174	-10.834844
39	0.902980	3750	-0.266369	-11.101213
40	0.900630	3750	-0.266541	-11.367754
41	0.898284	3750	-0.257532	-11.625286
42	0.895942	3750	-0.264593	-11.889878
43	0.893603	3750	-0.268533	-12.158411
44	0.891268	3750	-0.268724	-12.427135
45	0.888937	3750	-0.267410	-12.694545
46	0.886609	3750	-0.265158	-12.959703
47	0.884285	3750	-0.266976	-13.226679
48	0.881965	3750	-0.271564	-13.498243
49	0.879648	3750	-0.283301	-13.781544
50	0.877335	3750	-0.264393	-14.045937
51	0.875026	3750	-0.266296	-14.312234
52	0.872720	3750	-0.270025	-14.582259
53	0.870418	3750	-0.265763	-14.848021
54	0.868120	3750	-0.266349	-15.114371
55	0.865825	3750	-0.264502	-15.378873
56	0.863534	3750	-0.262251	-15.641124
57	0.861246	3750	-0.260761	-15.901885
58	0.858962	3750	-0.265144	-16.167029
59	0.856682	3750	-0.267588	-16.434616
60	0.854405	3750	-0.260486	-16.695102
61	0.852132	3750	-0.262460	-16.957562
62	0.849863	3750	-0.261370	-17.218932
63	0.847597	3750	-0.263078	-17.482010
64	0.845335	3750	-0.260779	-17.742789
65	0.843077	3750	-0.263789	-18.006578
66	0.840822	3750	-0.262423	-18.269001
67	0.838571	3750	-0.264610	-18.533611
68	0.836323	3750	-0.258534	-18.792145
69	0.834079	3750	-0.259589	-19.051734
70	0.831839	3750	-0.256840	-19.308574
71	0.829602	3750	-0.258843	-19.567416
72	0.827369	3750	-0.260085	-19.827502
